SIFT-FREAK-MAT_BF,AKAZE-AKAZE-MAT_BF,SHITOMASI-ORB-MAT_BF,FAST-ORB-MAT_BF,AKAZE-FREAK-MAT_BF,SHITOMASI-BRIEF-MAT_BF,SHITOMASI-BRISK-MAT_BF,FAST-BRIEF-MAT_BF,FAST-BRISK-MAT_BF,BRISK-FREAK-MAT_BF,AKAZE-BRISK-MAT_BF,AKAZE-BRIEF-MAT_BF,SIFT-BRIEF-MAT_BF,SIFT-BRISK-MAT_BF,BRISK-ORB-MAT_BF,SHITOMASI-FREAK-MAT_BF,FAST-FREAK-MAT_BF,BRISK-BRISK-MAT_BF,BRISK-BRIEF-MAT_BF
11.2638,12.3168,13.8003,11.1736,12.3081,13.9773,13.9019,13.0375,12.5943,12.3483,13.2817,14.6947,12.5955,11.5918,14.68,13.3964,12.1301,13.030999999999999,14.184000000000001
13.616,16.0654,12.2338,12.2632,14.0642,13.3067,11.3543,11.5586,12.3195,23.1347,18.703,14.8884,12.0102,13.0542,20.0407,13.0927,12.5157,21.3097,18.3159
13.5419,13.1854,11.6626,12.04,15.4591,13.4918,13.4904,16.1955,12.2128,13.5527,13.3659,14.747,15.3641,13.61,14.163,11.4126,13.1518,15.6932,14.515999999999998
20.5163,14.2488,12.1506,12.7732,14.036,13.1915,12.398,12.8265,12.6846,13.8293,16.2996,15.1887,24.9956,25.165,16.3706,12.1046,13.4281,15.2031,17.8407
13.7045,16.4623,12.3,13.1975,15.8935,12.3305,12.6754,17.049,13.8363,24.3184,17.3926,16.0754,13.2676,14.9871,19.4029,12.3,12.7031,26.4299,16.0423
11.9744,13.8408,13.8952,13.8425,14.4455,13.8952,15.1783,11.9004,11.9876,16.4298,14.7084,14.7367,12.6278,11.5722,20.629,14.2385,11.8684,17.6743,17.1279
14.6573,15.3277,13.401,14.2429,15.4416,12.8408,9.852089999999999,11.9106,12.8486,15.4463,15.8833,15.7675,15.7683,14.0533,18.0087,12.5645,12.8681,16.8563,18.5422
13.1874,15.6833,12.1848,12.694,17.0441,13.9251,12.0583,13.2475,12.2996,18.0417,13.9229,14.1696,15.6307,14.9979,16.0691,12.8515,12.3672,17.5504,19.5816
13.5536,14.8872,11.274000000000001,12.3713,18.0481,10.974,11.5126,10.0261,12.3653,15.3142,13.8234,17.1995,12.6051,12.9428,15.0829,12.0414,12.6536,13.8959,16.665
11.3849,12.2822,13.1345,13.425999999999998,11.8941,13.4962,14.685,13.5457,13.5835,13.9976,13.5191,11.4442,10.6529,12.1692,11.4555,13.0084,12.7106,13.4121,17.9856
12.7472,12.5177,11.3027,11.8844,12.162,11.3742,11.3024,11.7095,12.0003,13.7618,12.3627,14.4257,13.5342,12.7588,13.9703,11.0986,11.9869,12.8176,13.7639
11.0597,11.2554,11.2447,10.7351,11.5714,11.1976,11.6524,11.1753,12.1142,11.5109,10.8462,14.8933,10.5791,10.3338,12.9307,11.8702,12.1365,11.2037,13.5426
10.0661,11.0846,12.3026,11.7063,10.860999999999999,11.6095,11.7243,10.8704,11.5701,12.583,10.0855,11.5103,10.4276,9.59755,11.5189,12.3436,11.575,11.8505,13.6152
9.839839999999999,11.3418,9.73895,10.6938,9.87627,12.1773,11.5069,10.4836,11.3027,11.2535,10.9311,10.4339,9.3534,10.6946,12.1556,8.49691,11.0841,12.0376,14.0422
8.98705,10.7774,10.2642,10.3823,9.73035,11.7063,9.33785,10.7149,11.0677,15.1331,14.1467,11.7101,9.98526,9.25234,11.4651,10.297,11.0443,13.1813,13.1397
8.72439,10.5414,11.8542,11.0187,11.4984,11.9662,10.7161,10.647,11.1255,10.2783,11.7996,9.90061,9.54455,8.93159,11.7713,11.3153,10.9649,11.2969,13.7824
9.2156,9.697189999999999,12.3705,10.5836,9.1176,10.7391,11.4487,10.8609,10.2967,9.26682,10.6279,10.2174,9.00119,9.530439999999999,9.98468,11.3141,10.138,9.2872,11.9214
9.40822,9.70325,8.99642,11.3381,8.80695,9.25408,9.12792,11.6118,11.6591,10.7707,8.925239999999999,9.75222,12.0548,11.5829,11.4493,10.6426,11.414000000000001,10.9372,12.2583
